Source:,C:\Users\AlpenglowShop\Documents\Kicad\Alpenglow_SunnySurprise_PCB\Alpenglow_SunnySurprise_PCB.kicad_sch,,,,,
,,,,,,
Date:,6/1/2022 14:52,,,,,
,,,,,,
Tool:,Eeschema (6.0.1),,,,,
,,,,,,
Generator:,C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py,,,,,
,,,,,,
Component Count:,7,,,,,
,,,,,,
Ref,Qnty,Value,Cmp name,Footprint,Description,Vendor
"BT1, ",1,Battery_Cell,Battery_Cell,Alpenglow:BatteryHolder_MPD_BK888_2032_THRU,Single-cell battery,
"D1, D2, D3, D4, D5, ",5,LED,LED,Alpenglow:LED_D5.0mm_Horizontal_Sun,"Light emitting diode, small symbol, filled shape",
"SW1, ",1,SW_SPDT,SW_SPDT,Alpenglow:SW_SLIDE_RTA,,
